League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-11-13,27,0,16,3,Regular Season,1,0,0,234
0,2003-11-13,28,1,34,2,Regular Season,1,0,0,231
0,2003-11-13,20,3,0,1,Regular Season,1,0,0,230
0,2003-11-13,24,2,33,3,Regular Season,1,0,0,225
0,2003-11-13,35,2,23,1,Regular Season,1,0,0,227
0,2003-11-13,11,1,3,1,Regular Season,1,1,0,226
0,2003-11-13,21,5,31,1,Regular Season,1,0,0,228
0,2003-11-13,32,2,19,2,Regular Season,1,1,0,229
0,2003-11-14,12,3,26,4,Regular Season,1,0,0,238
0,2003-11-14,8,4,9,3,Regular Season,1,0,0,237
0,2003-11-14,22,1,29,1,Regular Season,1,1,0,239
0,2003-11-14,34,4,5,4,Regular Season,1,1,0,236
0,2003-11-14,17,4,15,0,Regular Season,1,0,0,235
0,2003-11-15,28,6,0,2,Regular Season,1,0,0,248
0,2003-11-15,32,5,20,3,Regular Season,1,0,0,247
0,2003-11-15,14,2,33,2,Regular Season,1,1,0,249
0,2003-11-15,27,4,3,0,Regular Season,1,0,0,251
0,2003-11-15,15,0,31,2,Regular Season,1,0,0,250
0,2003-11-15,21,5,10,1,Regular Season,1,0,0,246
0,2003-11-15,5,6,18,1,Regular Season,1,0,0,240
0,2003-11-15,25,2,12,2,Regular Season,1,1,0,242
0,2003-11-15,24,2,22,1,Regular Season,1,1,0,241
0,2003-11-15,23,0,19,6,Regular Season,1,0,0,243
0,2003-11-15,35,1,9,2,Regular Season,1,0,0,245
0,2003-11-15,11,2,16,3,Regular Season,1,0,0,244
0,2003-11-16,30,1,16,2,Regular Season,1,0,0,255
0,2003-11-16,8,3,10,0,Regular Season,1,0,0,254
0,2003-11-16,34,1,26,1,Regular Season,1,1,0,253
0,2003-11-16,33,1,31,1,Regular Season,1,1,0,252
0,2003-11-17,28,7,17,3,Regular Season,1,0,0,256
0,2003-11-18,18,4,0,1,Regular Season,1,0,0,262
0,2003-11-18,23,1,8,1,Regular Season,1,1,0,260
0,2003-11-18,27,2,10,2,Regular Season,1,1,0,261
0,2003-11-18,24,5,14,1,Regular Season,1,0,0,257
0,2003-11-18,25,3,30,0,Regular Season,1,0,0,259
0,2003-11-18,19,3,3,1,Regular Season,1,0,0,258
0,2003-11-19,21,0,17,5,Regular Season,1,0,0,268
0,2003-11-19,26,1,16,3,Regular Season,1,0,0,269
0,2003-11-19,15,3,35,2,Regular Season,1,0,0,270
0,2003-11-19,11,3,32,0,Regular Season,1,0,0,267
0,2003-11-19,33,2,5,1,Regular Season,1,0,0,263
0,2003-11-19,12,1,30,2,Regular Season,1,0,0,264
0,2003-11-19,31,2,20,2,Regular Season,1,1,0,266
0,2003-11-19,9,1,34,2,Regular Season,1,1,0,265
0,2003-11-20,14,0,35,3,Regular Season,1,0,0,277
0,2003-11-20,29,3,20,2,Regular Season,1,0,0,278
0,2003-11-20,18,5,8,5,Regular Season,1,1,0,279
0,2003-11-20,23,3,3,5,Regular Season,1,0,0,275
0,2003-11-20,28,5,24,2,Regular Season,1,0,0,276
0,2003-11-20,34,1,9,4,Regular Season,1,0,0,272
0,2003-11-20,5,1,22,1,Regular Season,1,1,0,271
0,2003-11-20,19,0,0,1,Regular Season,1,0,0,273
